Category,Headline,Owner agency,Date Promised,Status,Requires state action or cooperation,Targets,Short description,Description,SEO tags,Updates,Source Text,Source URL,Last Updated,URL Slugs
Childcare,"Implement Universal, No-Cost Childcare for Children Ages Six Weeks to Five Years",Department of Education,2025-01-07,Not started,Yes,Ages 6 weeks to 5 years,"Establishes universal, no-cost childcare for all children aged six weeks to five years.","• As candidate, Mayor Zohran Mamdani said the city would provide universal, no-cost childcare for all children ages six weeks to five years, regardless of family income.

• The program would be administered through the city’s education and early childhood system, expanding access to childcare and early learning across neighborhoods.

• Mamdani framed universal childcare as a response to the high cost of living, particularly the role childcare costs play in pushing working families to leave the city.","universal childcare, early education, working families, affordability, doe",No updates yet,WNYC Interview,,,universal-no-cost-childcare-children-ages-new-york
Childcare,Provide Baby Baskets to All New Families in New York City,Department of Health and Mental Hygiene,2025-01-07,Not started,No,Every new family,"Distributes free ""baby baskets"" with essential supplies to every new family in NYC.","• The city would provide every new family in New York City with a free baby basket containing essential supplies such as diapers, wipes, postpartum care items, and resource guides.

• The program is estimated to cost approximately $19 million annually, reflecting citywide distribution to all new families.

• The proposal builds on the Adams administration’s “NYC Baby Boxes” program, which distributes supply boxes at a limited number of public hospitals, and expands the concept into a universal, citywide benefit.","baby baskets, maternal health, newborns, family support, dohmh",No updates yet,WNYC Interview,,,baby-baskets-all-families-new-york
Education,Renovate 500 Public Schools With Clean Energy and Climate-Resilient Upgrades,School Construction Authority,2025-02-03,Not started,No,500 schools,Modernizes 500 public school buildings with clean energy systems and climate-resilient infrastructure upgrades.,"• The administration would renovate 500 public schools with clean energy and climate-resilient building upgrades.

• Planned improvements include renewable energy systems such as rooftop solar, along with upgrades to heating, ventilation, and air conditioning systems.

• The renovations are framed as a way to reduce energy use and emissions while improving indoor air quality and learning environments for students and staff.","green schools, solar, hvac, school renovation, sca",No updates yet,Policy Memo: Green Schools for a Healthier New York City,https://www.zohranfornyc.com/platform,,public-school-modernization-climate
Education,Convert 500 Asphalt Schoolyards Into Green Community Spaces,School Construction Authority,2025-02-03,Not started,No,500 schoolyards,Transforms 500 asphalt schoolyards into green community spaces.,"• The Mamdani administration would convert 500 asphalt schoolyards into green spaces with trees, grass, gardens, and other natural features.

• The conversions are framed as a strategy to reduce extreme heat, manage stormwater, and improve environmental conditions around schools.

• When school is not in session, the green schoolyards would be open to the public and function as neighborhood parks and recreational spaces.","green schoolyards, parks, education, climate resilience, sca",No updates yet,Policy Memo: Green Schools for a Healthier New York City,https://www.zohranfornyc.com/platform,,asphalt-schoolyards-green-community-spaces-new-york
Education,Enroll Every Public School in Open Streets,Department of Transportation,2025-02-03,Not started,No,Every public school,"Automatically enrolls every public school in the Open Streets program, which closes streets to car traffic during arrival and dismissal times.","• The city would automatically enroll every public school in the Open Streets for schools program, replacing the current system that requires schools to apply for participation.

• Open Streets temporarily close streets to most vehicle traffic during school drop-off and pick-up hours, creating safer, cleaner spaces for students, families, and school staff.

• The proposal would increase annual Open Streets funding from about $4 million to $20 million to provide operational support and programming so every school can maintain a car-free street during arrival and dismissal times.","open streets, schools, street safety, dot, pollution",No updates yet,Policy Memo: Green Schools for a Healthier New York City,https://www.zohranfornyc.com/platform,,public-school-open-streets-new-york
Education,Launch the 'Community to Classroom' Teacher Recruitment Initiative,Department of Education,2025-02-03,Not started,No,No specific targets stated,Creates a citywide pipeline that provides tuition support and other benefits in exchange for a three-year teaching commitment in NYC public schools.,"• The initiative provides $12,000 per student per year for tuition, along with OMNY cards, certification exams, and mentorship from current NYC public school teachers.

• The program includes two pathways: an early college track for NYC high school students and a mid-career track for adults such as paraprofessionals and other school community members seeking certification.

• Participants will complete their required three-year teaching commitment in districts with the highest staffing needs, supported by $12 million to fund an annual cohort of 1,000 teachers.","teacher recruitment, education workforce, community to classroom, doe, certification",No updates yet,Policy Memo: Recruiting World-Class Educators,https://www.zohranfornyc.com/platform,,community-classroom-teacher-recruitment-new-york
Education,Raise Childcare Worker Wages to a Living Wage at Par with Public School Teachers,Department of Education,2025-01-07,Not started,No,Parity with teachers,Increases childcare worker wages to match those of public school teachers.,"• Mayor Mamdani committed to paying early childhood educators a living wage at par with Department of Education teachers.

• In a campaign video, Mamdani said increase is necessary to ensure that childcare workers can afford to remain in New York City while delivering universal childcare.

• The plan includes ensuring childcare providers receive timely and complete payment from the city so higher wages can be sustained.","childcare wages, pay parity, labor, early childhood, doe",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,childcare-worker-wages-living-wage-par-new-york
Education,Make CUNY Tuition-Free Again,"CUNY, Mayor's Office",2025-01-07,Not started,Yes,No specific targets stated,Eliminates tuition for all students at the City University of New York.,"• Mayor Mamdani commits to making CUNY tuition free for all students, as it was for 130 years until it started charging tuition in 1976.

• The proposal calls for increased public investment in CUNY through cooperation with the city and the state, including pursuing the New Deal for CUNY.

• Funding tactics named in the plan include taxing large private universities such as NYU and Columbia to support tuition-free enrollment.","cuny, free college, higher education, tuition, affordability",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,cuny-tuition-free-new-york
Education,Provide Free OMNY Cards To CUNY Students,City University of New York,2025-01-07,Not started,No,All CUNY students,Distributes free OMNY transit cards to all CUNY students.,"• The plan would provide free OMNY transit cards to every CUNY student, expanding access beyond existing programs that offer the benefit only to some students.

• The program is part of the Mamdani administration’s broader plan to increase public investment in CUNY.

• That investment package also includes making CUNY tuition-free for all students.","cuny, omny, free transit, students, mta",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,free-omny-cards-cuny-students-new-york
Housing,Create a Tangled Title Fund,Department of Housing Preservation and Development,2025-02-03,Not started,No,$10 million fund,Establishes a $10 million fund to help homeowners clear legal issues with property titles.,"• Create a Tangled Title Fund to assist homeowners facing legal barriers tied to unclear or disputed property titles.

• The fund would support efforts to resolve inheritance, estate, and probate complications that prevent families from securing clear ownership of their homes.

• The policy notes that tangled title issues disproportionately affect homeowners in Black and brown communities, where informal property transfers are more common and increase the risk of displacement or fraud.","tangled title, homeownership, legal aid, estate planning, equity",No updates yet,Policy Memo: Stop the Squeeze on NYC Homeowners,https://www.zohranfornyc.com/platform,,tangled-title-new-york
Housing,Freeze Rents For Stabilized Tenants,Rent Guidelines Board,2025-02-03,Not started,No,Immediate,Freeze rents for more than two million New Yorkers living in rent-stabilized apartments.,"• Mayor Mamdani promised to immediately freeze rents for all rent-stabilized tenants.

• Mamdani has the authority to appoint members of the Rent Guidelines Board, who could vote for a rent freeze rather than approve an annual rent increase.

• Under Mayor Eric Adams, Rent Guidelines Board appointees voted to increase rents on stabilized apartments by a cumulative 12.6 percent.","housing, rent freeze, rent stabilization, tenants, affordability",No updates yet,Policy Memo: Housing By and For New York,https://www.zohranfornyc.com/policies/housing-by-and-for-new-york,,freeze-rents-stabilized-tenants-new-york
Housing,"Construct 200,000 Affordable Homes","Department of Housing Preservation and Development, Housing Authority, Department of City Planning",2025-02-03,Not started,No,"200,000 homes over 10 years","Construct 200,000 new units of publicly subsidized affordable housing over ten years.","• The city targets construction of 200,000 new units of publicly subsidized, affordable housing over ten years.

• Any 100 percent affordable housing development would be fast-tracked through the city’s land use review process.

• The housing would be built using union labor and consist of permanently affordable, rent-stabilized homes.","affordable housing, construction, union jobs, housing supply, hpd",No updates yet,Policy Memo: Housing By and For New York,https://www.zohranfornyc.com/policies/housing-by-and-for-new-york,,construct-200-000-affordable-homes-new-york
Housing,Allocate $70 Billion To Housing Capital Plan,Office of Management and Budget,2025-02-03,Not started,Yes,$70 billion new capital funds,Increase the City’s housing capital budget by adding $70 billion in new funding to the Ten-Year Capital Plan.,"• The city proposes adding $70 billion in new capital funds to the Ten-Year Capital Plan to support affordable housing production.

• The proposal would bring total planned housing capital investment to $100 billion over ten years.

• The funding would be raised through municipal bonds and requires state approval to increase the city’s debt limit.","capital plan, municipal bonds, housing finance, affordable housing, budget",No updates yet,Policy Memo: Housing By and For New York,https://www.zohranfornyc.com/policies/housing-by-and-for-new-york,,70-billion-housing-capital-new-york
Housing,Double NYCHA Capital Investment,"Housing Authority, Mayor's Office",2025-02-03,Not started,No,Double current investment,Increase capital funding for major renovations in New York City public housing.,"• Mayor Mamdani committed to doubling its capital investment in major renovations for NYCHA public housing developments.

• The additional funding would be used for large-scale repairs to aging buildings and core infrastructure across the public housing system.

• The plan also includes activating underutilized NYCHA storage areas and parking lots for new affordable housing development.","nycha, public housing, renovations, capital investment, housing repairs",No updates yet,Policy Memo: Housing By and For New York,https://www.zohranfornyc.com/policies/housing-by-and-for-new-york,,nycha-capital-investment-new-york
Housing,Initiate Comprehensive City Plan,Department of City Planning,2025-02-03,Not started,No,No specific targets stated,Launches a comprehensive citywide planning process to guide housing growth and development.,"• Mamdani’s team has said that the city has lacked a comprehensive guiding plan for housing development and has relied on fragmented zoning decisions.

• The administration will initiate a Comprehensive City Plan to guide housing development across all five boroughs.

• The proposal frames the planning process as a way to address racially discriminatory zoning legacies and integrate housing decisions with transit and education needs.","comprehensive plan, zoning, urban planning, housing development, dcp",No updates yet,Policy Memo: Housing By and For New York,https://www.zohranfornyc.com/policies/housing-by-and-for-new-york,,initiate-comprehensive-new-york
Housing,Eliminate Parking Minimums,Department of City Planning,2025-02-03,Not started,No,No specific targets stated,Removes requirements for developers to build parking spots in new housing developments.,"• The proposal calls for eliminating parking minimum requirements for new housing developments citywide.

• Parking minimums are zoning rules that require developers to build a set amount of off-street parking as part of new housing projects.

• In an interview, Mamdani said his housing plan includes fully eliminating the parking mandate, arguing that current zoning dedicates excessive public space to parking despite most New Yorkers walking, biking, or using transit.","parking minimums, zoning, housing density, urban planning, transit",No updates yet,Policy Memo: Housing By and For New York; Decision 2025: Mayoral Hopefuls Discuss the High Cost of ‘Free’ Parking,https://www.zohranfornyc.com/policies/housing-by-and-for-new-york,,eliminate-parking-minimums-new-york
Housing,Advocate For Universal Rent Stabilization,Mayor's Office,2025-02-03,Not started,Yes,No specific targets stated,Pushes for state legislation to apply rent stabilization rules to all new housing production.,"• Mayor Mamdani commits to advocating for state legislation that would apply rent stabilization rules to all newly constructed housing in New York City.

• Rent stabilization currently applies only to certain buildings, and the proposal would extend regulated lease protections beyond existing programs such as Mandatory Inclusionary Housing.

• Mamdani’s policy proposal frames universal rent stabilization as a way to ensure new housing provides stable, regulated leases rather than market-rate tenancy.","rent stabilization, albany, housing policy, tenant protections, state legislation",No updates yet,Policy Memo: Housing By and For New York,https://www.zohranfornyc.com/policies/housing-by-and-for-new-york,,universal-rent-stabilization-new-york
Housing,Rebuild Office To Protect Tenants,Mayor's Office to Protect Tenants,2025-02-03,Not started,No,No specific targets stated,Restore the city office responsible for tenant advocacy and enforcement after funding cuts under the previous administration.,"• Mayor Mamdani committed to rebuilding the Mayor’s Office to Protect Tenants.

• The office would function as a central coordinating body for tenant advocacy and enforcement actions against landlords.

• The proposal describes the move as reversing prior reductions in funding and institutional priority for tenant protection.","tenant protection, code enforcement, city hall, tenant rights, mopt",No updates yet,Policy Memo: Protecting New Yorks Tenants,https://www.zohranfornyc.com/policies/protecting-new-yorks-tenants,,tenants-new-york
Housing,Streamline Housing Code Enforcement,Mayor's Office to Protect Tenants,2025-02-03,Not started,No,No specific targets stated,Centralizes housing code enforcement from multiple agencies under one coordinated roof.,"• Mayor Mamdani commits to coordinating housing code enforcement agencies through the Mayor’s Office to Protect Tenants.

• Enforcement functions from HPD, DOB, FDNY, DEP, and DOH would be brought together under a single coordinating structure within that office.

• The coordination would cover inspections, data sharing, and enforcement actions against repeat housing code violators.","code enforcement, hpd, dob, housing violations, inspections",No updates yet,Policy Memo: Protecting New Yorks Tenants,https://www.zohranfornyc.com/policies/protecting-new-yorks-tenants,,streamline-housing-code-enforcement-new-york
Housing,Modernize 311 For Tenants,"OTI, Department of Housing Preservation and Development",2025-02-03,Not started,No,No specific targets stated,Upgrade the 311 and launch a website to allow tenants to schedule inspections and track housing violation status,"• A new 311 website portal would allow tenants to schedule housing inspections online.

• Through the portal, tenants could track violation status, receive text reminders for appointments, and view case updates in one place.

• The change responds to gaps in the current system, where inspection scheduling and follow-up lack transparency and predictability.","311, housing inspections, tenant services, technology, code enforcement",No updates yet,Policy Memo: Protecting New Yorks Tenants,https://www.zohranfornyc.com/policies/protecting-new-yorks-tenants,,modernize-311-tenants-new-york
Housing,Increase Fines for Dangerous Living Conditions,Mayor's Office to Protect Tenants,2025-02-03,Not started,No,Double current fines,Raises financial penalties on landlords for hazardous and immediately hazardous housing violations.,"• The policy calls for doubling fines for hazardous housing violations, including cracks in walls, broken windows, water damage, roaches, and defective locks.

• It also includes tripling fines for immediately hazardous violations, such as vermin infestations, lack of heat or hot water, and lead paint hazards.

• The policy includes ensuring fines are collected, with the goal of recovering at least $800 million currently owed and generating additional revenue each year.","housing fines, violations, landlords, tenant safety, hpd",No updates yet,Policy Memo: Protecting New Yorks Tenants,https://www.zohranfornyc.com/policies/protecting-new-yorks-tenants,,fines-dangerous-living-conditions-new-york
Housing,Install Heat Sensors In Buildings,Mayor’s Office to Protect Tenants,2025-02-03,Not started,No,78 degrees F maximum,Classifies failure to maintain indoor temperatures below 78 degrees as a violation.,"• Heat sensors would be installed in residential buildings with repeated heat-related violations to monitor indoor conditions and support enforcement during extreme heat events.

• The Housing Maintenance Code would be updated to classify failure to maintain indoor temperatures below 78 degrees Fahrenheit as a Class C violation when outdoor temperatures reach 82 degrees or higher.

• The update is intended to strengthen enforcement against landlords who fail to maintain safe indoor temperatures as extreme heat becomes more frequent.","extreme heat, housing code, tenant safety, climate adaptation, cooling",No updates yet,Policy Memo: Protecting New Yorks Tenants,https://www.zohranfornyc.com/policies/protecting-new-yorks-tenants,,heat-sensors-buildings-new-york
Housing,Double Alternative Enforcement Program,Department of Housing Preservation and Development,2025-02-03,Not started,No,Double program size,Expand city enforcement against repeat-offending landlords by scaling up oversight of the most distressed residential buildings.,"• Mayor Mamdani will double the size of the Alternative Enforcement Program, which places severely distressed apartment buildings under heightened city oversight for chronic housing code violations.

• Buildings in the program are subject to frequent inspections, mandatory repairs, and direct city intervention when owners fail to correct hazardous and immediately hazardous conditions.

• The proposal includes expanding the Office of Special Enforcement, which investigates repeat-offending landlords and supports stronger penalties and accountability measures.","alternative enforcement program, distressed housing, landlords, hpd, repairs",No updates yet,Policy Memo: Protecting New Yorks Tenants,https://www.zohranfornyc.com/policies/protecting-new-yorks-tenants,,alternative-enforcement-new-york
Housing,Restore Funding for Anti-Harassment Tenant Protection Program,Department of Housing Preservation and Development,2025-02-03,Not started,No,Restore $25 million cut,Restores funding for legal support that allows tenants to bring harassment cases against landlords.,"• Mayor Mamdani will restore funding to the Anti-Harassment Tenant Protection program, which supports tenants facing harassment or intimidation by their landlords.

• The program provides legal assistance to at-risk tenants pursuing affirmative cases, allowing them to seek relief without fear of retaliation or abuse.

• The restoration reverses $25 million in funding cuts made to the program over the previous three years under Mayor Eric Adams.","tenant harassment, legal services, anti-harassment, hpd, funding",No updates yet,Policy Memo: Protecting New Yorks Tenants,https://www.zohranfornyc.com/policies/protecting-new-yorks-tenants,,funding-anti-harassment-tenant-protection-new-york
Housing,Fully Fund Neighborhood Pillars,Department of Housing Preservation and Development,2025-02-03,Not started,No,Preserve 20000 homes,Fully funds the Neighborhood Pillars program to acquire and preserve distressed housing.,"• Fully fund the Neighborhood Pillars program with $1 billion in city capital funding.

• The program finances nonprofit acquisition of distressed rental housing to keep homes permanently affordable.

• The plan targets preserving up to 20,000 homes over ten years, restoring capacity reduced by earlier cuts to housing preservation funding.","neighborhood pillars, affordable housing preservation, non-profit housing, hpd, acquisition",No updates yet,Policy Memo: Protecting New Yorks Tenants,https://www.zohranfornyc.com/policies/protecting-new-yorks-tenants,,neighborhood-pillars-new-york
Housing,Perform Repairs And Bill Landlords,Department of Housing Preservation and Development,2025-02-03,Not started,No,No specific targets stated,Uses the city's emergency repair powers to fix hazards directly and bill the costs to landlords.,"• The city would step in to repair hazardous housing conditions when landlords refuse to make required fixes.

• The program relies on emergency repair powers to address serious housing code violations after owners fail to comply.

• Costs for the work would be billed to landlords, shifting the financial burden away from tenants.","emergency repairs, landlord accountability, housing maintenance, hpd, tenant safety",No updates yet,Policy Memo: Protecting New Yorks Tenants,https://www.zohranfornyc.com/policies/protecting-new-yorks-tenants,,perform-repairs-bill-landlords-new-york
Housing,Advocate to Repeal Real Property Tax Law Section 581,Mayor's Office,2025-02-03,Not started,Yes,No specific targets stated,Pushes for state legislation to repeal a tax provision governing how condominiums and cooperatives are assessed.,"• Advocate for state action to repeal Real Property Tax Law Section 581, which requires residential cooperatives and condominiums to be assessed using the income-based method applied to rental buildings.

• Under current law, assessments for condos and co-ops rely on comparable rental income rather than individual unit market values, shaping how these properties are taxed.

• Repeal would require approval by the State Legislature, as assessment rules for these property types are set in state law rather than by the city.","property tax, section 581, condos, co-ops, tax reform",No updates yet,Policy Memo: Stop the Squeeze on NYC Homeowners,https://www.zohranfornyc.com/platform,,repeal-real-property-tax-law-section-new-york
Housing,"Extend and Reform J-51 Tax Abatement
",Mayor's Office,2025-02-03,Not started,Yes,Extend to 2035,Seek to extend the J-51 tax abatement program and reduce barriers that limit participation.,"• Advocate for extending the J-51 tax abatement program through 2035, allowing landlords to continue accessing tax relief tied to building repairs and capital improvements.

• The proposal also calls for reducing application fees and administrative hurdles that discourage smaller property owners from participating in the program.

• J-51 is framed as a tool to support ongoing building maintenance and repairs, with the extension requiring approval by the State Legislature.","j-51, tax abatement, housing repairs, incentives, albany",No updates yet,Policy Memo: Stop the Squeeze on NYC Homeowners,https://www.zohranfornyc.com/platform,,extend-reform-j-51-tax-abatement-new-york
Housing,Pass Community Opportunity to Purchase Act (COPA),City Council,2025-02-03,Not started,No,No specific targets stated,Legislates a right for qualified nonprofits to purchase residential buildings when landlords put them up for sale.,"• The Mamdani administration will work with the City Council to pass the Community Opportunity to Purchase Act, which applies when landlords sell residential multifamily buildings.

• Under COPA, qualified nonprofit buyers are given time to assemble an offer and the ability to match a third-party bid before a sale is finalized.

• The policy is described as being modeled on similar successful legislation in Washington, D.C., and San Francisco.","copa, community land trusts, housing acquisition, anti-displacement, legislation",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,new-york-confidentiality-protections-act
Housing,Advocate For Tenant Opportunity to Purchase Act,Mayor's Office,2025-02-03,Not started,Yes,No specific targets stated,Supports state legislation giving tenants the right to purchase their buildings.,"• Advocate for passage of the Tenant Opportunity to Purchase Act (TOPA) at the state level.

• The bill would give tenants the right to collectively purchase their buildings when landlords sell.

• The mayor would work with the state on how TOPA would be implemented in New York City if enacted.","topa, tenant rights, homeownership, albany, housing policy",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,tenant-opportunity-purchase-act-new-york
Housing,Provide City-Backed Loans For Co-ops,Department of Housing Preservation and Development,2025-02-03,Not started,No,No specific targets stated,Creates affordable loan products for co-ops to fund capital repairs.,"• The administration would provide cooperative housing buildings with access to City-backed loans for capital repairs and building upgrades.

• The financing would focus on Housing Development Fund Corporation co-ops, which are limited-equity cooperatives serving low- and moderate-income residents, and Mitchell-Lama co-ops, a state–city housing program created to provide affordable housing through regulated cooperatives and rentals.

• The loans are described as a way to help co-ops address rising maintenance costs and assessments without displacing existing shareholders. ","co-ops, hdfc, loans, housing repairs, affordability",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,backed-loans-co-ops-new-york
Housing,Pass Community Land Act,City Council,2025-02-03,Not started,No,No specific targets stated,Enacts a legislative package to prioritize community land trusts for public land.,"• The administration would work with the City Council to pass the Community Land Act, which would prioritize Community Land Trusts when city-owned land is sold.

• Community Land Trusts are nonprofit organizations that own land to keep housing affordable and under community control.

• The proposed legislation would expand the number of properties available to Community Land Trusts, building on the more than 20 CLTs that already operate across New York City.","community land trusts, public land, housing policy, legislation, clt",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,community-land-act-new-york
Housing,Increase Funding for the Citywide Community Land Trust Initiative,City Council,2025-02-03,Not started,No,$6 million annually,Allocates matching funds to raise the Citywide CLT Initiative budget to $6 million.,"• The administration would provide matching funds for the City Council’s Citywide Community Land Trust Initiative, increasing total funding to $6 million annually.

Community Land Trusts are nonprofit organizations that hold land to support long-term affordability and community control of housing, with more than 20 operating across New York City.

• The funding proposal supports other community land trust policies, including plans to pass the Community Land Act governing the sale of city-owned land.","clt, funding, community land trusts, budget, housing",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,funding-citywide-community-land-trust-new-york
Housing,Seed a $35 Million Community Land Trust Acquisition Fund,Department of Housing Preservation and Development,2025-02-03,Not started,No,$35 million fund,Creates a fund to provide Community Land Trusts with capital to acquire and rehabilitate property.,"• The administration would seed a $35 million Community Land Trust Acquisition and Rehabilitation Fund.

• The fund would provide Community Land Trusts with capital to acquire and rehabilitate properties.

• The financing would leverage partnerships with community lenders and philanthropic foundations.","clt, acquisition fund, housing finance, community ownership, hpd",No updates yet,Zohran Mamdani for NYC Platforms,https://www.zohranfornyc.com/platform,,seed-35-million-community-land-trust-new-york
