Category,Headline,Owner agency,Date Promised,Status,Requires state action or cooperation,Targets,Short description,Description,SEO tags,Updates,Source Text,Source URL,Last updated,URL Slugs,Anthony ,Cha,Geli
Childcare,"Implement Universal, No-Cost Childcare for Children Ages Six Weeks to Five Years",Department of Education,2025-01-07,Not started,Yes,Ages 6 weeks to 5 years,"Establishes universal, no-cost childcare for all children aged six weeks to five years.","• As candidate, Mayor Zohran Mamdani said the city would provide universal, no-cost childcare for all children ages six weeks to five years, regardless of family income.

• The program would be administered through the city’s education and early childhood system, expanding access to childcare and early learning across neighborhoods.

• Mamdani framed universal childcare as a response to the high cost of living, particularly the role childcare costs play in pushing working families to leave the city.","universal childcare, early education, working families, affordability, doe",No updates yet,"""WNYC Interview""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,How exactly will he implement universal childcare? add cost of 6bil per year? accdg to cnn: https://www.cnn.com/2025/12/30/politics/zohran-mamdani-nyc-mayor-policy-proposals
Childcare,Provide Baby Baskets to All New Families in New York City,Department of Health and Mental Hygiene,2025-01-07,Not started,No,Every new family,"Distributes free ""baby baskets"" with essential supplies to every new family in NYC.","• The city would provide every new family in New York City with a free baby basket containing essential supplies such as diapers, wipes, postpartum care items, and resource guides.

• The program is estimated to cost approximately $19 million annually, reflecting citywide distribution to all new families.

• The proposal builds on the Adams administration’s “NYC Baby Boxes” program, which distributes supply boxes at a limited number of public hospitals, and expands the concept into a universal, citywide benefit.","baby baskets, maternal health, newborns, family support, dohmh",No updates yet,"""WNYC Interview""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Education,Renovate 500 Public Schools With Clean Energy and Climate-Resilient Upgrades,School Construction Authority,2025-02-03,Not started,No,500 schools,Modernizes 500 public school buildings with clean energy systems and climate-resilient infrastructure upgrades.,"• The administration would renovate 500 public schools with clean energy and climate-resilient building upgrades.

• Planned improvements include renewable energy systems such as rooftop solar, along with upgrades to heating, ventilation, and air conditioning systems.

• The renovations are framed as a way to reduce energy use and emissions while improving indoor air quality and learning environments for students and staff.","green schools, solar, hvac, school renovation, sca",No updates yet,"""Green Schools Memo""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Education,Convert 500 Asphalt Schoolyards Into Green Community Spaces,School Construction Authority,2025-02-03,Not started,No,500 schoolyards,Transforms 500 asphalt schoolyards into green community spaces.,"• The Mamdani administration would convert 500 asphalt schoolyards into green spaces with trees, grass, gardens, and other natural features.

• The conversions are framed as a strategy to reduce extreme heat, manage stormwater, and improve environmental conditions around schools.

• When school is not in session, the green schoolyards would be open to the public and function as neighborhood parks and recreational spaces.","green schoolyards, parks, education, climate resilience, sca",No updates yet,"""Green Schools Memo""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Education,Enroll Every Public School in Open Streets,"Department of Transportation
",2025-02-03,Not started,No,Every public school,"Automatically enrolls every public school in the Open Streets program, which closes streets to car traffic during arrival and dismissal times.","• The city would automatically enroll every public school in the Open Streets for schools program, replacing the current system that requires schools to apply for participation.

• Open Streets temporarily close streets to most vehicle traffic during school drop-off and pick-up hours, creating safer, cleaner spaces for students, families, and school staff.

• The proposal would increase annual Open Streets funding from about $4 million to $20 million to provide operational support and programming so every school can maintain a car-free street during arrival and dismissal times.","open streets, schools, street safety, dot, pollution",No updates yet,"""Green Schools Memo""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Education,Launch the 'Community to Classroom' Teacher Recruitment Initiative,Department of Education,2025-02-03,Not started,No,No specific targets stated,Creates a citywide pipeline that provides tuition support and other benefits in exchange for a three-year teaching commitment in NYC public schools.,"• The initiative provides $12,000 per student per year for tuition, along with OMNY cards, certification exams, and mentorship from current NYC public school teachers.

• The program includes two pathways: an early college track for NYC high school students and a mid-career track for adults such as paraprofessionals and other school community members seeking certification.

• Participants will complete their required three-year teaching commitment in districts with the highest staffing needs, supported by $12 million to fund an annual cohort of 1,000 teachers.","teacher recruitment, education workforce, community to classroom, doe, certification",No updates yet,"""Recruiting World-Class Educators""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Education,Provide Teacher Tuition Support,DOE,2025-02-03,Not started,No,"$12,000 per year","Offers $12,000 annual tuition support for teaching degrees in exchange for service.","• Provide $12,000 annual tuition support for teaching degrees in exchange for service commitments. • Participants must commit to teaching in NYC public schools for three years. • Support includes free OMNY cards and mentorship.","tuition support, teacher training, scholarships, higher education, doe",No updates yet,"""Recruiting World-Class Educators""; ""Promise Tracked""",,2025-05-16,,,Okay,
Education,Fund Community To Classroom Launch,DOE,2025-02-03,Not started,No,$12 million,Allocates $12 million to launch the Community to Classroom teacher pipeline.,"• Allocate $12 million to launch the Community to Classroom program. • The initial funding supports an annual cohort of 1,000 new teachers. • Investment covers tuition subsidies and program administration.","education funding, teacher recruitment, budget, doe, workforce",No updates yet,"""Recruiting World-Class Educators""; ""Promise Tracked""",,2025-05-16,,,Okay,
Education,Raise Childcare Worker Wages to a Living Wage at Par with Public School Teachers,Department of Education,2025-01-07,Not started,No,Parity with teachers,Increases childcare worker wages to match those of public school teachers.,"• Mayor Mamdani committed to paying early childhood educators a living wage at par with Department of Education teachers.

• In a campaign video, Mamdani said increase is necessary to ensure that childcare workers can afford to remain in New York City while delivering universal childcare.

• The plan includes ensuring childcare providers receive timely and complete payment from the city so higher wages can be sustained.","childcare wages, pay parity, labor, early childhood, doe",No updates yet,"""Platform""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,"change to ""childcare workers a living wage at par with Department of Education teachers.""?"
Education,Make CUNY Tuition Free,"CUNY, Mayor's Office",2025-01-07,Not started,Yes,No specific targets stated,Eliminates tuition for all students at the City University of New York.,"• Mayor Mamdani commits to making CUNY tuition free for all students, as it was for 130 years until it started charging tuition in 1976.

• The proposal calls for increased public investment in CUNY through cooperation with the city and the state, including pursuing the New Deal for CUNY.

• Funding tactics named in the plan include taxing large private universities such as NYU and Columbia to support tuition-free enrollment.","cuny, free college, higher education, tuition, affordability",No updates yet,"""Platform""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Education,Provide Free OMNY Cards To CUNY Students,City University of New York,2025-01-07,Not started,No,All CUNY students,Distributes free OMNY transit cards to all CUNY students.,"• The plan would provide free OMNY transit cards to every CUNY student, expanding access beyond existing programs that offer the benefit only to some students.

• The program is part of the Mamdani administration’s broader plan to increase public investment in CUNY.

• That investment package also includes making CUNY tuition-free for all students.","cuny, omny, free transit, students, mta",No updates yet,"""Platform""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Education,Ensure LGBTQIA+ Liaisons In Schools,DOE,2025-02-03,Not started,No,One per district,Mandates at least one LGBTQIA+ liaison in every Department of Education district.,• Ensure every Department of Education district has at least one LGBTQIA+ liaison. • Liaisons support students and ensure schools follow inclusivity guidelines. • The policy expands the current insufficient number of liaisons.,"lgbtqia+, schools, liaisons, doe, student support,No updates yet",No updates yet,"""LGBTQIA+ Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Governance,Ban NDAs In EDC Contracts,EDC,2025-02-03,Not started,No,No specific targets stated,Prohibits non-disclosure agreements in contracts awarded by the Economic Development Corporation.,• Direct the NYC Economic Development Corporation to ban non-disclosure agreements in future contracts. • The policy ensures public transparency regarding corporate subsidies and deals. • It eliminates secrecy in how public economic development funds are used.,"nda, transparency, edc, contracts, governance",No updates yet,"""Anti-monopoly Platform""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Governance,Hire 200 Law Department Attorneys,Law Department,2025-02-03,Not started,No,200 attorneys,Hires 200 additional attorneys for the NYC Law Department to restore capacity.,• Hire 200 additional attorneys for the NYC Law Department. • Staffing increase aims to restore the department to pre-pandemic levels. • A stronger legal team supports enforcement of city laws and defense against federal overreach.,"law department, attorneys, staffing, legal defense, governance",No updates yet,"""Trump-Proofing Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Governance,Survey Data Privacy Risks,OIP,2025-02-03,Not started,No,Day One survey,Conducts a citywide survey to identify and protect sensitive data from federal access.,• Survey all city systems to identify where sensitive data requires protection. • The review aims to prevent information sharing with federal immigration authorities. • Steps may include shredding documents or encrypting databases.,"data privacy, sanctuary city, cybersecurity, immigration protection, oip",No updates yet,"""Trump-Proofing Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Healthcare,Establish Community Mental Health Navigators,DCS,2025-02-03,Not started,No,No specific targets stated,Launches a program of navigators to connect residents to mental health care.,"• Establish a citywide Community Mental Health Navigators program. • Navigators operate in every neighborhood to provide education and referrals. • The program offers a preventative, community-based entry point to care.","mental health, navigators, healthcare access, community safety, dcs",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Healthcare,Create Peer Clubhouses,DOHMH,2025-02-03,Not started,No,No specific targets stated,Expands the network of Peer Clubhouses for people with serious mental illness.,• Establish additional Peer Clubhouses. • Clubhouses provide peer-led support and community for recovery. • The policy reverses restrictions that prevent smaller programs from receiving funding.,"peer clubhouses, mental health, recovery, community support, dohmh",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Healthcare,Triple Mobile Crisis Teams,DOHMH,2025-02-03,Not started,No,Triple size,Triples the capacity of Mobile Crisis Teams to provide 24/7 service.,• Triple the size of the Mobile Crisis Team program. • Expansion ensures round-the-clock availability for mental health crises. • Investment includes improved salaries for team members.,"mobile crisis teams, mental health, 24/7 service, dohmh, crisis response",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Healthcare,Open Four Crisis Residences,DOHMH,2025-02-03,Not started,No,4 centers in year one,Opens four new Crisis Residences in the first year to support mental health stabilization.,• Open four new Crisis Residences in the first year. • Residences provide a short-term place for people in crisis to stabilize. • Facilities offer an alternative to hospitalization or jail.,"crisis residences, mental health, respite centers, dohmh, stabilization",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Healthcare,Increase Ending The Epidemic Funding,DOHMH,2025-02-03,Not started,No,$10 million funding,Increases funding for the Ending the Epidemic HIV/AIDS initiative to $10 million.,• Increase funding for the Ending the Epidemic initiative to $10 million. • Funds target Black and Brown-led organizations. • The boost supports prevention and treatment efforts.,"ending the epidemic, hiv/aids, healthcare, funding, dohmh",No updates yet,"""LGBTQIA+ Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Healthcare,Increase LGBTQIA+ Mental Health Funding,DOHMH,2025-02-03,Not started,No,$20 million increase,Adds $20 million to funding for LGBTQIA+ mental health providers.,• Increase funding for LGBTQIA+ mental health providers by $20 million. • Investment aims to reduce waitlists for affirming care. • Resources support staffing and service expansion.,"mental health, lgbtqia+, funding, healthcare, dohmh",No updates yet,"""LGBTQIA+ Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Healthcare,Enforce Crisis Pregnancy Center Rules,DCWP,2025-02-03,Not started,No,No specific targets stated,Enforces laws requiring Crisis Pregnancy Centers to disclose lack of medical licensure.,• Enforce Local Law 17 regarding Crisis Pregnancy Center disclosures. • The enforcement ensures centers do not mislead patients about medical services. • Protecting patients from deceptive practices supports reproductive rights.,"reproductive rights, crisis pregnancy centers, consumer protection, dcwp, enforcement",No updates yet,"""Trump-Proofing Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Healthcare,Double Abortion Access Hub Funding,DOHMH,2025-02-03,Not started,No,$2 million funding,Doubles funding for the Abortion Access Hub to $2 million.,• Double funding for the Abortion Access Hub to $2 million. • The hub connects patients to abortion providers and financial assistance. • Increased funding supports access for both residents and people traveling to NYC.,"abortion access, healthcare, funding, reproductive rights, dohmh",No updates yet,"""Trump-Proofing Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Healthcare,Double Abortion Access Fund Support,DOHMH,2025-02-03,Not started,No,Double funding,Doubles city funding for the New York Abortion Access Fund.,• Double funding for the New York Abortion Access Fund. • The fund directly pays for abortion care for those who cannot afford it. • Financial support ensures economic barriers do not prevent medical access.,"abortion fund, funding, reproductive justice, healthcare, access",No updates yet,"""Trump-Proofing Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Housing,Create a Tangled Title Fund,"Department of Housing Preservation and Development
",2025-02-03,Not started,No,$10 million fund,Establishes a $10 million fund to help homeowners clear legal issues with property titles.,"• Create a Tangled Title Fund to assist homeowners facing legal barriers tied to unclear or disputed property titles.

• The fund would support efforts to resolve inheritance, estate, and probate complications that prevent families from securing clear ownership of their homes.

• The policy notes that tangled title issues disproportionately affect homeowners in Black and brown communities, where informal property transfers are more common and increase the risk of displacement or fraud.","tangled title, homeownership, legal aid, estate planning, equity",No updates yet,"""Homeowner Policy Memo""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Freeze Rents For Stabilized Tenants,Rent Guidelines Board,2025-02-03,Not started,No,Immediate,Freeze rents for more than two million New Yorkers living in rent-stabilized apartments.,"• Mayor Mamdani promised to immediately freeze rents for all rent-stabilized tenants.

• Mamdani has the authority to appoint members of the Rent Guidelines Board, who could vote for a rent freeze rather than approve an annual rent increase.

• Under Mayor Eric Adams, Rent Guidelines Board appointees voted to increase rents on stabilized apartments by a cumulative 12.6 percent.","housing, rent freeze, rent stabilization, tenants, affordability",No updates yet,"""Housing By and For New York""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,"Construct 200,000 Affordable Homes","Department of Housing Preservation and Development, New York City Housing Authority, Department of City Planning
",2025-02-03,Not started,No,"200,000 homes over 10 years","Construct 200,000 new units of publicly subsidized affordable housing over ten years.","• The city targets construction of 200,000 new units of publicly subsidized, affordable housing over ten years.

• Any 100 percent affordable housing development would be fast-tracked through the city’s land use review process.

• The housing would be built using union labor and consist of permanently affordable, rent-stabilized homes.","affordable housing, construction, union jobs, housing supply, hpd",No updates yet,"""Housing By and For New York""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Allocate $70 Billion To Housing Capital Plan,"Office of Management and Budget
",2025-02-03,Not started,Yes,$70 billion new capital funds,Increase the City’s housing capital budget by adding $70 billion in new funding to the Ten-Year Capital Plan.,"• The city proposes adding $70 billion in new capital funds to the Ten-Year Capital Plan to support affordable housing production.

• The proposal would bring total planned housing capital investment to $100 billion over ten years.

• The funding would be raised through municipal bonds and requires state approval to increase the city’s debt limit.","capital plan, municipal bonds, housing finance, affordable housing, budget",No updates yet,"""Housing By and For New York""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Double NYCHA Capital Investment,"New York City Housing Authority, Mayor's Office
",2025-02-03,Not started,No,Double current investment,Increase capital funding for major renovations in New York City public housing.,"• Mayor Mamdani committed to doubling its capital investment in major renovations for NYCHA public housing developments.

• The additional funding would be used for large-scale repairs to aging buildings and core infrastructure across the public housing system.

• The plan also includes activating underutilized NYCHA storage areas and parking lots for new affordable housing development.","nycha, public housing, renovations, capital investment, housing repairs",No updates yet,"""Housing By and For New York""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Initiate Comprehensive City Plan,DCP,2025-02-03,Not started,No,No specific targets stated,Launches a comprehensive citywide planning process to guide housing growth and development.,"• Mamdani’s team has said that the city has lacked a comprehensive guiding plan for housing development and has relied on fragmented zoning decisions.

• The administration will initiate a Comprehensive City Plan to guide housing development across all five boroughs.

• The proposal frames the planning process as a way to address racially discriminatory zoning legacies and integrate housing decisions with transit and education needs.","comprehensive plan, zoning, urban planning, housing development, dcp",No updates yet,"""Housing By and For New York""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Eliminate Parking Minimums,DCP,2025-02-03,Not started,No,No specific targets stated,Removes requirements for developers to build parking spots in new housing developments.,"• The proposal calls for eliminating parking minimum requirements for new housing developments citywide.

• Parking minimums are zoning rules that require developers to build a set amount of off-street parking as part of new housing projects.

• In an interview, Mamdani said his housing plan includes fully eliminating the parking mandate, arguing that current zoning dedicates excessive public space to parking despite most New Yorkers walking, biking, or using transit.","parking minimums, zoning, housing density, urban planning, transit",No updates yet,"""Housing By and For New York""; Decision 2025: Mayoral Hopefuls Discuss the High Cost of ‘Free’ Parking
",,2025-05-16,,Okay,Okay,Okay
Housing,Advocate For Universal Rent Stabilization,Mayor's Office,2025-02-03,Not started,Yes,No specific targets stated,Pushes for state legislation to apply rent stabilization rules to all new housing production.,"• Mayor Mamdani commits to advocating for state legislation that would apply rent stabilization rules to all newly constructed housing in New York City.

• Rent stabilization currently applies only to certain buildings, and the proposal would extend regulated lease protections beyond existing programs such as Mandatory Inclusionary Housing.

• Mamdani’s policy proposal frames universal rent stabilization as a way to ensure new housing provides stable, regulated leases rather than market-rate tenancy.","rent stabilization, albany, housing policy, tenant protections, state legislation",No updates yet,"""Housing By and For New York""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Rebuild Office To Protect Tenants,Mayor's Office to Protect Tenants,2025-02-03,Not started,No,No specific targets stated,Restore the city office responsible for tenant advocacy and enforcement after funding cuts under the previous administration.,"• Mayor Mamdani committed to rebuilding the Mayor’s Office to Protect Tenants.

• The office would function as a central coordinating body for tenant advocacy and enforcement actions against landlords.

• The proposal describes the move as reversing prior reductions in funding and institutional priority for tenant protection.","tenant protection, code enforcement, city hall, tenant rights, mopt",No updates yet,"""Protecting New York Tenants""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Streamline Housing Code Enforcement,Mayor's Office to Protect Tenants,2025-02-03,Not started,No,No specific targets stated,Centralizes housing code enforcement from multiple agencies under one coordinated roof.,"• Mayor Mamdani commits to coordinating housing code enforcement agencies through the Mayor’s Office to Protect Tenants.

• Enforcement functions from HPD, DOB, FDNY, DEP, and DOH would be brought together under a single coordinating structure within that office.

• The coordination would cover inspections, data sharing, and enforcement actions against repeat housing code violators.","code enforcement, hpd, dob, housing violations, inspections",No updates yet,"""Protecting New York Tenants""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Modernize 311 For Tenants,"OTI, HPD",2025-02-03,Not started,No,No specific targets stated,Upgrade the 311 and launch a website to allow tenants to schedule inspections and track housing violation status,"• A new 311 website portal would allow tenants to schedule housing inspections online.

• Through the portal, tenants could track violation status, receive text reminders for appointments, and view case updates in one place.

• The change responds to gaps in the current system, where inspection scheduling and follow-up lack transparency and predictability.","311, housing inspections, tenant services, technology, code enforcement",No updates yet,"""Protecting New York Tenants""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Increase Fines for Dangerous Living Conditions,Mayor's Office to Protect Tenants,2025-02-03,Not started,No,Double current fines,Raises financial penalties on landlords for hazardous and immediately hazardous housing violations.,"• The policy calls for doubling fines for hazardous housing violations, including cracks in walls, broken windows, water damage, roaches, and defective locks.

• It also includes tripling fines for immediately hazardous violations, such as vermin infestations, lack of heat or hot water, and lead paint hazards.

• The policy includes ensuring fines are collected, with the goal of recovering at least $800 million currently owed and generating additional revenue each year.","housing fines, violations, landlords, tenant safety, hpd",No updates yet,"""Protecting New York Tenants""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Install Heat Sensors In Buildings,Mayor’s Office to Protect Tenants,2025-02-03,Not started,No,78 degrees F maximum,Classifies failure to maintain indoor temperatures below 78 degrees as a violation.,"• Heat sensors would be installed in residential buildings with repeated heat-related violations to monitor indoor conditions and support enforcement during extreme heat events.

• The Housing Maintenance Code would be updated to classify failure to maintain indoor temperatures below 78 degrees Fahrenheit as a Class C violation when outdoor temperatures reach 82 degrees or higher.

• The update is intended to strengthen enforcement against landlords who fail to maintain safe indoor temperatures as extreme heat becomes more frequent.","extreme heat, housing code, tenant safety, climate adaptation, cooling",No updates yet,"""Protecting New York Tenants""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Double Alternative Enforcement Program,"Department of Housing Preservation and Development
",2025-02-03,Not started,No,Double program size,Expand city enforcement against repeat-offending landlords by scaling up oversight of the most distressed residential buildings.,"• Mayor Mamdani will double the size of the Alternative Enforcement Program, which places severely distressed apartment buildings under heightened city oversight for chronic housing code violations.

• Buildings in the program are subject to frequent inspections, mandatory repairs, and direct city intervention when owners fail to correct hazardous and immediately hazardous conditions.

• The proposal includes expanding the Office of Special Enforcement, which investigates repeat-offending landlords and supports stronger penalties and accountability measures.","alternative enforcement program, distressed housing, landlords, hpd, repairs",No updates yet,"""Protecting New York Tenants""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Restore Funding for Anti-Harassment Tenant Protection Program,"Department of Housing Preservation and Development
",2025-02-03,Not started,No,Restore $25 million cut,Restores funding for legal support that allows tenants to bring harassment cases against landlords.,"• Mayor Mamdani will restore funding to the Anti-Harassment Tenant Protection program, which supports tenants facing harassment or intimidation by their landlords.

• The program provides legal assistance to at-risk tenants pursuing affirmative cases, allowing them to seek relief without fear of retaliation or abuse.

• The restoration reverses $25 million in funding cuts made to the program over the previous three years under Mayor Eric Adams.","tenant harassment, legal services, anti-harassment, hpd, funding",No updates yet,"""Protecting New York Tenants""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
